id,brand_id,group_id,series_id,full_name,brand_name,group_name,series_name,price,year,displacement,month,oil,max_power,max_speed,max_load,max_horsepower
61940,1,1,1,轩逸  2023款 1.6L CVT舒享版,日产,东风日产,东风日产-轩逸,11.90万元,2023,1.6L,3,5.94L,99kw,186km/h,1720kg,1.6L 135马力 L4
60073,1,1,1,轩逸  2023款 1.6L CVT悦享版,日产,东风日产,东风日产-轩逸,12.99万元,2023,1.6L,3,5.57L,99kw,186km/h,1720kg,1.6L 135马力 L4
60074,1,1,1,轩逸  2023款 1.6L CVT智驾版,日产,东风日产,东风日产-轩逸,13.39万元,2023,1.6L,3,5.57L,99kw,186km/h,1720kg,1.6L 135马力 L4
66147,1,1,1,轩逸  2024款 经典 1.6XE CVT舒适版,日产,东风日产,东风日产-轩逸,10.86万元,2023,1.6L,12,5.94L,90kw,180km/h,1650kg,1.6L 122马力 L4
66322,1,1,1,轩逸  2024款 经典 1.6XL CVT豪华版,日产,东风日产,东风日产-轩逸,11.86万元,2024,1.6L,1,5.94L,90kw,180km/h,1650kg,1.6L 122马力 L4
66315,1,1,1,轩逸  2024款 经典 1.6XV CVT尊享版,日产,东风日产,东风日产-轩逸,12.26万元,2024,1.6L,1,5.94L,90kw,180km/h,1650kg,1.6L 122马力 L4
57275,1,1,1,轩逸  2021款 经典 1.6XE CVT专享版,日产,东风日产,东风日产-轩逸,14.08万元,2022,1.6L,5,-L,90kw,182km/h,1650kg,1.6L 122马力 L4
64820,2,2,2,朗逸  2024款 1.5L 自动得逸版,大众,上汽大众,上汽大众-朗逸,12.09万元,2023,1.5L,9,5.92L,81kw,188km/h,1755kg,1.5L 110马力 L4
64821,2,2,2,朗逸  2024款 1.5L 自动满逸版,大众,上汽大众,上汽大众-朗逸,12.79万元,2023,1.5L,9,5.92L,81kw,188km/h,1755kg,1.5L 110马力 L4
64818,2,2,2,朗逸  2024款 1.5L 自动五百万版,大众,上汽大众,上汽大众-朗逸,13.09万元,2023,1.5L,9,5.92L,81kw,188km/h,1755kg,1.5L 110马力 L4
64819,2,2,2,朗逸  2024款 1.5L 自动星空五百万版,大众,上汽大众,上汽大众-朗逸,13.09万元,2023,1.5L,9,5.92L,81kw,188km/h,1755kg,1.5L 110马力 L4
64822,2,2,2,朗逸  2024款 300TSI DSG满逸版,大众,上汽大众,上汽大众-朗逸,13.89万元,2023,1.5L,9,5.40L,118kw,200km/h,1805kg,1.5T 160马力 L4
64824,2,2,2,朗逸  2024款 300TSI DSG星空满逸版,大众,上汽大众,上汽大众-朗逸,13.89万元,2023,1.5L,9,5.40L,118kw,200km/h,1805kg,1.5T 160马力 L4
64825,2,2,2,朗逸  2024款 300TSI DSG星空领先版,大众,上汽大众,上汽大众-朗逸,14.39万元,2023,1.5L,9,5.40L,118kw,200km/h,1805kg,1.5T 160马力 L4
64823,2,2,2,朗逸  2024款 300TSI DSG永逸版,大众,上汽大众,上汽大众-朗逸,15.19万元,2023,1.5L,9,5.40L,118kw,200km/h,1805kg,1.5T 160马力 L4
64826,2,2,2,朗逸  2024款 300TSI DSG星空永逸版,大众,上汽大众,上汽大众-朗逸,15.19万元,2023,1.5L,9,5.40L,118kw,200km/h,1805kg,1.5T 160马力 L4
